intent,pattern,response,response_te,language,category
symptom_report,i have headache,I note that you have a headache. Is the pain sharp throbbing or dull?,మీకు తలనొప్పి ఉందని నేను గమనించాను. ఈ నొప్పి ఎలా ఉంది?,en,symptom
symptom_report,i have cough,You mentioned having a cough. Is it a dry cough or do you have phlegm?,మీకు దగ్గు ఉందని చెప్పారు. అది పొడి దగ్గా లేక కఫంతో ఉందా?,en,symptom
symptom_report,i feel nauseous,Nausea can be uncomfortable. Have you experienced any vomiting or stomach pain?,వికారం అసౌకర్యంగా ఉంటుంది. మీకు వాంతులు లేదా కడుపు నొప్పి కూడా ఉన్నాయా?,en,symptom
symptom_report,my joint hurts,Joint pain can limit movement. Are you experiencing any swelling or stiffness in the joints?,కీళ్ల నొప్పులు కదలికలను పరిమితం చేస్తాయి. కీళ్లలో వాపు లేదా బిగుతు ఉందా?,en,symptom
symptom_report,i have skin rash,A skin rash can have many causes. Is it itchy red or peeling?,చర్మంపై దద్దుర్లు అనేక కారణాల వల్ల రావచ్చు. అది దురదగా ఉందా?,en,symptom
symptom_report,tala noppi ga undi,I understand you have a headache. Let me know if you also have fever or dizziness.,మీకు తలనొప్పి ఉన్నట్లు అర్థమైంది. జ్వరం లేదా కళ్ళు తిరగడం కూడా ఉందో చెప్పండి.,te,symptom
symptom_report,naku jwaram vachindi,I understand you have a fever. Since how many days are you suffering?,మీకు జ్వరం వచ్చిందని అర్థమైంది. ఎన్ని రోజుల నుండి జ్వరం ఉంది?,te,symptom
symptom_report,daggu ga undi,You reported having a cough. Is there mucus or blood in your sputum?,మీకు దగ్గు ఉన్నట్లు చెప్పారు. కఫం లేదా రక్తం పడుతుందా?,te,symptom
symptom_report,kadupu noppi,Abdominal pain can have several causes. Do you have nausea or diarrhea?,కడుపు నొప్పికి అనేక కారణాలు ఉండవచ్చు. వికారం లేదా విరేచనాలు ఉన్నాయా?,te,symptom
symptom_report,ontlo nala ga undi,You feel unwell. Do you have body pain fever or fatigue?,మీ ఒంట్లో నలతగా ఉందన్నారు. ఒంటి నొప్పులు జ్వరం లేదా అలసట ఉన్నాయా?,te,symptom
duration_question,since 2 days,I record that this has been going on for two days. Are the symptoms getting worse?,ఇది రెండు రోజుల నుండి ఉందని గమనించాను. లక్షణాలు తీవ్రమవుతున్నాయా?,en,symptom
duration_question,from 3 days,Understood since three days. Are you taking any medications for this?,మూడు రోజుల నుండి అని అర్థమైంది. దీని కోసం ఏదైనా మందులు వాడుతున్నారా?,en,symptom
duration_question,since a week,A week is a long time. Please consult a doctor soon. Do you have any other symptoms?,వారం రోజులు అనేది చాలా ఎక్కువ సమయం. దయచేసి త్వరగా వైద్యుడిని సంప్రదించండి.,en,symptom
duration_question,ninnటి నుండి,Since yesterday. Did it start suddenly or gradually?,నిన్నటి నుండి. ఇది హఠాత్తుగా ప్రారంభమైందా లేదా నెమ్మదిగానా?,te,symptom
duration_question,moodu rola nundi,From three days. Have you noticed any other symptoms during this time?,మూడు రోజుల నుండి. ఈ సమయంలో ఇతర లక్షణాలను ఏమైనా గమనించారా?,te,symptom
severity_question,severe pain,Severe pain requires prompt evaluation. Please consider booking an appointment with a specialist.,తీవ్రమైన నొప్పికి తక్షణ పరిశీలన అవసరం. దయచేసి వైద్యుడిని సంప్రదించండి.,en,symptom
severity_question,mild symptoms,Since it is mild rest and hydration should help. Monitor if it gets worse.,ఇది తేలికపాటి లక్షణాలు కాబట్టి విశ్రాంతి మరియు నీరు తీసుకోవడం సహాయపడుతుంది.,en,symptom
severity_question,chala ekkuva noppi,Understood that it is severe pain. (చాలా ఎక్కువ నొప్పి). Please take rest and consult a doctor.,నొప్పి చాలా ఎక్కువగా ఉందని అర్థమైంది. దయచేసి వైద్యుడిని సంప్రదించండి.,te,symptom
severity_question,konchem noppi,Mild pain. Monitor it closely and take rest.,కొంచెం నొప్పి. దానిని గమనిస్తూ విశ్రాంతి తీసుకోండి.,te,symptom
appointment_request,book appointment,You can book an appointment with our doctors through the Appointment section in the dashboard.,మీరు డాష్‌బోర్డ్‌లోని అపాయింట్‌మెంట్ విభాగం ద్వారా వైద్యులతో అపాయింట్‌మెంట్ బుక్ చేసుకోవచ్చు.,en,general
appointment_request,doctor consult,I can suggest doctor matching based on your symptoms. Would you like to check suggested doctors?,నేను మీ లక్షణాల ఆధారంగా వైద్యులను సూచించగలను. సూచించిన వైద్యులను తనిఖీ చేయాలా?,en,general
appointment_request,appointment naku kavali,To book an appointment please navigate to Book Appointment in the patient dashboard menu.,అపాయింట్‌మెంట్ బుక్ చేసుకోవడానికి దయచేసి పేషెంట్ డాష్‌బోర్డ్‌లో 'బుక్ అపాయింట్‌మెంట్' కి వెళ్లండి.,te,general
general_health,how to stay healthy,Eating a balanced diet exercising regularly and getting enough sleep are keys to staying healthy.,సమతుల్య ఆహారం క్రమం తప్పకుండా వ్యాయామం మరియు తగినంత నిద్ర ఆరోగ్యంగా ఉండటానికి కీలకం.,en,general
general_health,diet tips,Try to include fresh vegetables fruits whole grains and lean proteins in your diet. Drink plenty of water.,మీ ఆహారంలో తాజా కూరగాయలు పండ్లు మరియు తృణధాన్యాలు ఉండేలా చూసుకోండి. నీరు ఎక్కువగా త్రాగాలి.,en,general
general_health,arogyam ga undatam ela,To stay healthy eat fresh food exercise daily sleep 8 hours and drink 3-4 liters of water.,ఆరోగ్యంగా ఉండటానికి తాజా ఆహారం తినండి వ్యాయామం చేయండి మరియు 8 గంటలు నిద్రపోండి.,te,general
followup,yes,Please describe it further or list any other symptoms you are experiencing.,దయచేసి దాని గురించి మరికొంత వివరించండి లేదా ఇతర లక్షణాలను చెప్పండి.,en,general
followup,no,Alright. Let me analyze the symptoms you have reported so far.,సరే. మీరు ఇప్పటివరకు తెలియజేసిన లక్షణాలను నేను విశ్లేషిస్తాను.,en,general
followup,avunu,Please tell me more details about it.,దయచేసి దాని గురించి మరిన్ని వివరాలు తెలియజేయండి.,te,general
followup,ledu,Okay. I will proceed with the symptoms you already mentioned.,సరే. మీరు చెప్పిన లక్షణాలతో నేను ముందుకు వెళ్తాను.,te,general
greeting,good morning doc,Hello! I am your AI assistant here. How can I assist you with your health today?,హలో! నేను ఇక్కడే ఉన్నాను. మీ ఆరోగ్యానికి సంబంధించి ఎలా సహాయపడగలను?,en,general
greeting,hello doctor,Hello! I am your AI Medical Assistant. Please describe the symptoms you are experiencing.,హలో! నేను మీ ఏఐ వైద్య సహాయకుడిని. దయచేసి మీ లక్షణాలను తెలియజేయండి.,en,general
symptom_report,i have migraine,I note that you have a migraine. Have you experienced any nausea sensitivity to light or dizziness?,పార్శ్వపు నొప్పి (మైగ్రేన్) ఉందా. మీకు వికారం కాంతికి సున్నితత్వం లేదా కళ్ళు తిరగడం ఉందా?,en,symptom
symptom_report,i have diabetes,Diabetes requires careful monitoring of blood sugar. Are you experiencing frequent urination or excessive thirst?,మధుమేహం ఉందా. మీకు తరచుగా మూత్రవిసర్జన లేదా ఎక్కువ దాహం వేయడం వంటి లక్షణాలు ఉన్నాయా?,en,symptom
symptom_report,i have asthma,Asthma makes breathing difficult. Are you experiencing wheezing cough or chest tightness?,ఉబ్బసం ఉందా. మీకు పిల్లికూతలు దగ్గు లేదా ఛాతీ బిగుతుగా ఉండటం వంటి లక్షణాలు ఉన్నాయా?,en,symptom
symptom_report,i have arthritis,Arthritis affects the joints. Do you have joint pain swelling or stiffness?,కీళ్లవాతం ఉందా. మీకు కీళ్ల నొప్పులు వాపు లేదా కీళ్ల బిగుతుగా ఉండటం వంటి లక్షణాలు ఉన్నాయా?,en,symptom
symptom_report,i have dermatitis,Dermatitis causes skin irritation. Do you have a skin rash itching or dry skin?,చర్మ శోధము ఉందా. మీకు చర్మంపై దద్దుర్లు దురద లేదా పొడి చర్మం వంటి లక్షణాలు ఉన్నాయా?,en,symptom
symptom_report,i have runny nose,A runny nose is common with colds. Do you also have a sore throat sneezing or fever?,ముక్కు కారడం ఉందా. మీకు గొంతు నొప్పి తుమ్ములు లేదా జ్వరం కూడా ఉన్నాయా?,en,symptom
symptom_report,i have sore throat,A sore throat can indicate an infection. Do you have difficulty swallowing or fever?,గొంతు నొప్పి ఉందా. మీకు మింగడంలో ఇబ్బంది లేదా జ్వరం ఉందా?,en,symptom
symptom_report,i have heart racing,Palpitations or heart racing can be concerning. Do you have any chest pain or shortness of breath?,గుండె కొట్టుకోవడం వేగంగా ఉందా. మీకు ఛాతీ నొప్పి లేదా శ్వాస ఆడకపోవడం ఉందా?,en,symptom
symptom_report,i feel dizzy,Dizziness can be caused by various issues. Have you experienced any headache or fainting?,కళ్ళు తిరగడం ఉందా. మీకు తలనొప్పి లేదా స్పృహ తప్పడం జరిగిందా?,en,symptom
symptom_report,i have blood in urine,Warning: Blood in urine requires urgent medical evaluation. Please book an appointment with a Nephrologist.,హెచ్చరిక: మూత్రంలో రక్తం పడటం అత్యవసర పరిస్థితి. వెంటనే నెఫ్రాలజిస్ట్‌ను సంప్రదించండి.,en,emergency
symptom_report,i have dark urine,Dark urine can indicate dehydration or liver issues. Are you experiencing fever or yellow eyes?,చిక్కటి మూత్రం ఉందా. మీకు జ్వరం లేదా కళ్ళు పచ్చబడటం వంటి లక్షణాలు ఉన్నాయా?,en,symptom
symptom_report,i have yellow eyes,Yellow eyes can be a sign of jaundice. Do you have abdominal pain nausea or yellow skin?,కళ్ళు పచ్చబడటం కామెర్ల సంకేతం కావచ్చు. కడుపు నొప్పి లేదా వికారం ఉందా?,en,symptom
symptom_report,i have yellow skin,Yellow skin can indicate liver or gallbladder issues. Do you have yellow eyes or stomach pain?,చర్మం పచ్చబడటం కాలేయ సమస్యను సూచించవచ్చు. కడుపు నొప్పి ఉందా?,en,symptom
symptom_report,i have joint pain,Joint pain can be due to arthritis or injury. Is there swelling redness or stiffness?,కీళ్ల నొప్పులు ఉన్నాయా. వాపు ఎరుపు లేదా కీళ్ల బిగుతుగా ఉందా?,en,symptom
symptom_report,i have muscle cramps,Muscle cramps are common after exercise. Are you experiencing muscle weakness or joint pain?,కండరాల తిమ్మిరి ఉందా. కండరాల బలహీనత లేదా కీళ్ల నొప్పి ఉందా?,en,symptom
symptom_report,i have stiff neck,A stiff neck with fever and headache requires immediate medical checkup. Do you have these symptoms?,మెడ బిగుసుకుపోవడం జ్వరం మరియు తలనొప్పితో ఉంటే వెంటనే పరీక్షించుకోవాలి.,en,emergency
symptom_report,i have dry skin,Dry skin is common in dry weather. Are you also experiencing itching skin rash or peeling?,పొడి చర్మం ఉందా. మీకు దురద చర్మంపై దద్దుర్లు లేదా పొట్టు రాలడం ఉందా?,en,symptom
symptom_report,i have red skin,Red skin can be due to sunburn allergy or infection. Is it itchy or painful?,చర్మం ఎర్రబడటం ఉందా. అది దురదగా లేదా నొప్పితో ఉందా?,en,symptom
symptom_report,i have skin peeling,Skin peeling can occur as a rash heals. Do you have dry skin itching or rash?,చర్మం పొట్టు రాలడం ఉందా. పొడి చర్మం దురద లేదా దద్దుర్లు ఉన్నాయా?,en,symptom
symptom_report,i have blurred vision,Blurred vision requires prompt eye evaluation. Do you have eye redness pain or double vision?,మసక చూపు ఉందా. కళ్ళు ఎర్రబడటం నొప్పి లేదా రెండుగా కనిపించడం ఉందా?,en,symptom
symptom_report,i have painful urination,Painful urination is a common symptom of UTI. Do you have frequent urination or blood in urine?,మూత్రవిసర్జనలో నొప్పి యూరినరీ ఇన్ఫెక్షన్ లక్షణం కావచ్చు.,en,symptom
symptom_report,i have frequent urination,Frequent urination can be due to UTI or diabetes. Do you have excessive thirst or painful urination?,తరచుగా మూత్రవిసర్జన ఉందా. ఎక్కువ దాహం లేదా మూత్రంలో నొప్పి ఉందా?,en,symptom
symptom_report,i have loss of smell,Loss of smell is common with viral infections. Do you have a cold cough fever or loss of taste?,వాసన కోల్పోవడం ఉందా. జలుబు దగ్గు జ్వరం లేదా రుచి కోల్పోవడం ఉందా?,en,symptom
symptom_report,i have loss of taste,Loss of taste often accompanies loss of smell. Do you have fever cold or cough?,రుచి కోల్పోవడం ఉందా. జ్వరం జలుబు లేదా దగ్గు ఉందా?,en,symptom
symptom_report,i have bloating,Bloating can be caused by gas or indigestion. Do you have stomach pain heartburn or flatulence?,కడుపు ఉబ్బరం ఉందా. కడుపు నొప్పి గుండెల్లో మంట లేదా గ్యాస్ ఉందా?,en,symptom
symptom_report,i have flatulence,Flatulence or gas can be due to diet. Do you have stomach pain bloating or acid reflux?,గ్యాస్ సమస్య ఉందా. కడుపు నొప్పి కడుపు ఉబ్బరం లేదా రిఫ్లక్స్ ఉందా?,en,symptom
symptom_report,i have weight loss,Unexplained weight loss requires checkup. Are you experiencing fatigue excessive hunger or thirst?,బరువు తగ్గడం ఉందా. అలసట ఎక్కువ ఆకలి లేదా దాహం వేయడం ఉందా?,en,symptom
symptom_report,i have hair loss,Hair loss can be due to stress or nutrition. Are you experiencing dry skin or fatigue?,జుట్టు రాలడం ఉందా. పొడి చర్మం లేదా అలసట ఉందా?,en,symptom
symptom_report,i have back pain,Back pain can be musculoskeletal. Do you have neck pain muscle cramps or stiffness?,నడుము నొప్పి ఉందా. మెడ నొప్పి కండరాల తిమ్మిరి ఉందా?,en,symptom
symptom_report,i have neck pain,Neck pain can be from poor posture. Do you have back pain headache or stiff neck?,మెడ నొప్పి ఉందా. నడుము నొప్పి తలనొప్పి లేదా మెడ బిగుతు ఉందా?,en,symptom
symptom_report,i have dry mouth,Dry mouth can be due to dehydration. Do you have excessive thirst bad breath or dry skin?,నోరు ఎండిపోవడం ఉందా. ఎక్కువ దాహం నోటి దుర్వాసన ఉందా?,en,symptom
symptom_report,i have bad breath,Bad breath can be due to oral hygiene. Do you have dry mouth or bleeding gums?,నోటి దుర్వాసన ఉందా. నోరు ఎండిపోవడం లేదా చిగుళ్ల నుండి రక్తం రావడం ఉందా?,en,symptom
symptom_report,i have bleeding gums,Bleeding gums can be a sign of gingivitis. Do you have toothache or bad breath?,చిగుళ్ల నుండి రక్తం రావడం ఉందా. పంటి నొప్పి లేదా నోటి దుర్వాసన ఉందా?,en,symptom
symptom_report,i have toothache,A toothache requires a dentist visit. Do you have bleeding gums or bad breath?,పంటి నొప్పి ఉందా. చిగుళ్ల నుండి రక్తం రావడం లేదా దుర్వాసన ఉందా?,en,symptom
symptom_report,i have ear pain,Ear pain can indicate an infection. Do you have fever sore throat or hearing loss?,చెవి నొప్పి ఉందా. జ్వరం గొంతు నొప్పి లేదా వినే శక్తి తగ్గడం ఉందా?,en,symptom
symptom_report,i have hearing loss,Hearing loss requires audiologist exam. Do you have ear pain dizziness or headache?,వినే శక్తి తగ్గడం ఉందా. చెవి నొప్పి కళ్ళు తిరగడం లేదా తలనొప్పి ఉందా?,en,symptom
symptom_report,i have nosebleed,A nosebleed can be due to dry air. Do you have a runny nose sneezing or headache?,ముక్కు నుండి రక్తం రావడం ఉందా. ముక్కు కారడం లేదా తలనొప్పి ఉందా?,en,symptom
symptom_report,i have hoarseness,Hoarseness or voice change can be from laryngitis. Do you have sore throat or cough?,గొంతు బొంగురుపోవడం ఉందా. గొంతు నొప్పి లేదా దగ్గు ఉందా?,en,symptom
symptom_report,i have double vision,Double vision requires immediate neurological/ophthalmic check. Do you have blurred vision or headache?,రెండుగా కనిపించడం ఉందా. మసక చూపు లేదా తలనొప్పి ఉందా?,en,emergency
symptom_report,i have eye redness,Eye redness can be conjunctivitis. Do you have eye itching burning eyes or sore eyes?,కళ్ళు ఎర్రబడటం ఉందా. కళ్ల దురద కళ్ల మంటలు లేదా నొప్పులు ఉన్నాయా?,en,symptom
symptom_report,i have eye itching,Eye itching can be allergic. Do you have eye redness burning eyes or runny nose?,కళ్ల దురద ఉందా. కళ్ళు ఎర్రబడటం కళ్ల మంటలు లేదా ముక్కు కారడం ఉందా?,en,symptom
symptom_report,i have burning eyes,Burning eyes can be due to strain. Do you have eye redness dry eyes or blurred vision?,కళ్ల మంటలు ఉన్నాయా. కళ్ళు ఎర్రబడటం ఎండిపోవడం ఉందా?,en,symptom
symptom_report,i have dry eyes,Dry eyes can be due to screen time. Do you have burning eyes blurred vision or eye redness?,కళ్ళు ఎండిపోవడం ఉందా. కళ్ల మంటలు మసక చూపు ఉందా?,en,symptom
symptom_report,i have night sweats,Night sweats can have various causes. Do you have fever weight loss or fatigue?,రాత్రిపూట చెమటలు ఉన్నాయా. జ్వరం బరువు తగ్గడం లేదా అలసట ఉందా?,en,symptom
symptom_report,i have panic attacks,Panic attacks are intense anxiety episodes. Do you have anxiety insomnia or mood swings?,భయాందోళనలు ఉన్నాయా. ఆందోళన నిద్రలేమి లేదా మూడ్ మార్పులు ఉన్నాయా?,en,symptom
symptom_report,i have mood swings,Mood swings can indicate stress. Do you have irritability anxiety or depression?,మూడ్ మార్పులు ఉన్నాయా. చిరాకు ఆందోళన లేదా నిరాశ ఉందా?,en,symptom
symptom_report,i have irritability,Irritability can be due to lack of sleep. Do you have insomnia fatigue or anxiety?,చిరాకు ఉందా. నిద్రలేమి అలసట లేదా ఆందోళన ఉందా?,en,symptom
symptom_report,i have cold hands,Cold hands can be circulation-related. Do you have cold feet fatigue or numbness?,చల్లని చేతులు ఉన్నాయా. చల్లని పాదాలు అలసట లేదా తిమ్మిరి ఉందా?,en,symptom
symptom_report,i have cold feet,Cold feet often accompany cold hands. Do you have cold hands fatigue or numbness?,చల్లని పాదాలు ఉన్నాయా. చల్లని చేతులు అలసట లేదా తిమ్మిరి ఉందా?,en,symptom
symptom_report,i have body weakness,Body weakness requires rest. Do you have fever muscle weakness or fatigue?,శరీర బలహీనత ఉందా. జ్వరం కండరాల బలహీనత లేదా అలసట ఉందా?,en,symptom
symptom_report,i have muscle weakness,Muscle weakness can be neurological. Do you have body weakness body pain or joint pain?,కండరాల బలహీనత ఉందా. శరీర బలహీనత ఒంటి నొప్పులు ఉన్నాయా?,en,symptom
symptom_report,i have swollen feet,Swollen feet can indicate fluid retention. Do you have swollen joints fatigue or dark urine?,పాదాల వాపు ఉందా. కీళ్ల వాపు అలసట లేదా చిక్కటి మూత్రం ఉందా?,en,symptom
symptom_report,i have sleep apnea,Sleep apnea disrupts breathing. Do you have snoring fatigue or insomnia?,నిద్రలో శ్వాస నిలిచిపోవడం ఉందా. గురక అలసట లేదా నిద్రలేమి ఉందా?,en,symptom
symptom_report,i have snoring,Snoring can be related to sleep apnea. Do you have sleep apnea daytime fatigue or dry mouth?,గురక ఉందా. నిద్రలో శ్వాస నిలిచిపోవడం అలసట ఉందా?,en,symptom
symptom_report,i have frequent sneezing,Frequent sneezing is common in allergies. Do you have runny nose itchy eyes or skin rash?,తరచుగా తుమ్ములు ఉన్నాయా. ముక్కు కారడం కళ్ల దురద ఉందా?,en,symptom
symptom_report,i have sneezing attacks,Sneezing attacks can be allergic. Do you have runny nose itchy eyes or sore throat?,तुమ్ముల దాడులు ఉన్నాయా. ముక్కు కారడం కళ్ల దురద ఉందా?,en,symptom
symptom_report,i have stomach bloat,Bloating can be uncomfortable. Do you have flatulence abdominal pain or heartburn?,కడుపు ఉబ్బరం ఉందా. గ్యాస్ సమస్య కడుపు నొప్పి ఉందా?,en,symptom
symptom_report,i have hives,Hives are itchy raised welts on skin. Do you have skin rash itching or swelling?,దద్దుర్లు ఉన్నాయా. చర్మంపై దద్దుర్లు దురద లేదా వాపు ఉందా?,en,symptom
symptom_report,i have skin blisters,Skin blisters can be from burn or infection. Are they itchy red or painful?,చర్మంపై పొక్కులు ఉన్నాయా. అవి దురదగా ఎర్రగా లేదా నొప్పితో ఉన్నాయా?,en,symptom
symptom_report,i have slow healing cuts,Slow healing cuts can be a sign of diabetes. Do you have excessive thirst or frequent urination?,నెమ్మదిగా తగ్గే గాయాలు ఉన్నాయా. ఎక్కువ దాహం లేదా తరచుగా మూత్రవిసర్జన ఉందా?,en,symptom
symptom_report,i have easy bruising,Easy bruising requires medical evaluation. Do you have skin peeling rash or fatigue?,సులభంగా కమిలిపోవడం ఉందా. చర్మం పొట్టు రాలడం అలసట ఉందా?,en,symptom
symptom_report,i have excessive thirst,Excessive thirst can indicate diabetes. Do you have frequent urination or excessive hunger?,ఎక్కువ దాహం వేస్తుందా. తరచుగా మూత్రవిసర్జన లేదా ఎక్కువ ఆకలి ఉందా?,en,symptom
symptom_report,i have excessive hunger,Excessive hunger can be related to metabolism. Do you have excessive thirst or weight loss?,ఎక్కువ ఆకలి వేస్తుందా. ఎక్కువ దాహం లేదా బరువు తగ్గడం ఉందా?,en,symptom
symptom_report,i have abdominal distension,Abdominal distension is visible stomach swelling. Do you have stomach pain nausea or vomiting?,కడుపు ఉబ్బరం ఉందా. కడుపు నొప్పి వికారం లేదా వాంతులు ఉన్నాయా?,en,symptom
symptom_report,i have urinary incontinence,Urinary incontinence is loss of bladder control. Do you have frequent or painful urination?,మూత్ర నియంత్రణ లేకపోవడం ఉందా. తరచుగా లేదా నొప్పితో కూడిన మూత్రవిసర్జన ఉందా?,en,symptom
symptom_report,i have blood in sputum,Warning: Blood in sputum is a serious symptom. Please seek immediate pulmonology consultation.,హెచ్చరిక: కఫంలో రక్తం పడటం అత్యవసర పరిస్థితి. వెంటనే వైద్యుడిని సంప్రదించండి.,en,emergency
symptom_report,i have phlegm,Phlegm indicates respiratory irritation. Do you have cough fever or sore throat?,కఫం ఉందా. దగ్గు జ్వరం లేదా గొంతు నొప్పి ఉందా?,en,symptom
