english,telugu,tenglish,category
cold,జలుబు,jalubu,disease
diabetes,మధుమేహం,madhumeham,disease
hypertension,బీపీ,BP,disease
asthma,దమ్ము,dammu,disease
gastroenteritis,కడుపు ఇన్ఫెక్షన్,kadupu infection,disease
arthritis,కీళ్ల వాతం,keella vatham,disease
dermatitis,చర్మ రోగం,charma rogam,disease
typhoid,టైఫాయిడ్,typhoid,disease
malaria,మలేరియా,malaria,disease
dengue,డెంగ్యూ,dengue,disease
stroke,పక్షవాతం,pakshawatham,disease
anemia,రక్తహీనత,raktha heenatha,disease
psoriasis,సోరియాసిస్,psoriasis,disease
gout,గౌట్,gout,disease
cataract,శుక్లాలు,shuklalu,disease
glaucoma,నీటికాసులు,neeti kasulu,disease
conjunctivitis,కళ్లకలక,kalla kalaka,disease
tonsillitis,టాన్సిల్స్,tonsils,disease
sinusitis,సైనస్,sinus,disease
scabies,గజ్జి,gajji,disease
eczema,తామర,thamara,disease
angina,గుండె నొప్పి,gunde noppi,disease
appendicitis,అపెండిసైటిస్,appendicitis,disease
bronchitis,శ్వాసనాళాల వాపు,swasanaalala vapu,disease
cellulitis,చర్మ వాపు,charma vapu,disease
cholelithiasis,పిత్తాశయ రాళ్లు,pithashaya rallu,disease
urinary tract infection,యూరినరీ ఇన్ఫెక్షన్,urinary infection,disease
kidney stones,కిడ్నీ రాళ్లు,kidney rallu,disease
cirrhosis,కాలేయ వ్యాధి,kaleya vyadhi,disease
gastritis,కడుపులో మంట,kadupulo manta,disease
thyroid,థైరాయిడ్,thyroid,disease
measles,తట్టు,thattu,disease
mumps,గవదబిళ్ళలు,gavadabillalu,disease
cholera,కలరా,cholera,disease
tuberculosis,క్షయ,kshaya,disease
ischemic stroke,పక్షవాతం,pakshawatham,disease
epilepsy,మూర్ఛ వ్యాధి,moorcha vyadhi,disease
parkinson,వణుకు వాతం,vanuku vatham,disease
alzheimer,మతిమరుపు వ్యాధి,mathimarupu vyadhi,disease
otitis media,చెవి ఇన్ఫెక్షన్,chevi infection,disease
jaundice,కామెర్లు,kamerlu,disease
yes,అవును,avunu,general
no,లేదు,ledu,general
no,కాదు,kaadu,general
